,pitches
325,391.9974211310824
326,391.9974211310824
327,391.9974211310824
328,391.9974211310824
329,391.9974211310824
330,391.9974211310824
331,391.9974211310824
332,391.9974211310824
333,391.9974211310824
334,391.9974211310824
335,391.9974211310824
336,391.9974211310824
337,391.9974211310824
338,391.9974211310824
339,391.9974211310824
340,391.9974211310824
341,391.9974211310824
342,391.9974211310824
343,391.9974211310824
344,391.9974211310824
345,391.9974211310824
346,391.9974211310824
347,391.9974211310824
348,391.9974211310824
349,391.9974211310824
350,391.9974211310824
351,391.9974211310824
352,391.9974211310824
353,391.9974211310824
354,391.9974211310824
355,391.9974211310824
356,391.9974211310824
357,391.9974211310824
358,391.9974211310824
359,391.9974211310824
360,391.9974211310824
361,391.9974211310824
362,391.9974211310824
363,391.9974211310824
364,391.9974211310824
365,391.9974211310824
